team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year
Albany (NY),33,24,9,.727,-0.34,-5.18,,15,1,,12,3,,12,5,,2156,1996,,61.2,106.4,.390,.343,.546,53.5,47.9,9.2,5.5,.499,16.2,32.6,.296,2015
Arizona,38,34,4,.895,24.33,7.41,,16,2,,17,0,,8,3,,2911,2268,,66.5,114.8,.471,.259,.575,56.8,52.3,10.8,9.8,.535,14.2,34.5,.338,2015
Arkansas,36,27,9,.750,14.07,6.79,,13,5,,17,2,,7,5,,2787,2525,,70.1,109.6,.373,.310,.539,50.2,59.2,10.9,12.0,.500,14.3,35.7,.270,2015
Baylor,34,24,10,.706,17.85,9.33,,11,7,,16,2,,6,5,,2349,2048,,62.8,109.2,.386,.334,.530,55.9,61.1,12.2,11.2,.497,16.4,42.4,.260,2015
Belmont,33,22,11,.667,0.35,-2.77,,11,5,,12,2,,7,8,,2450,2330,,67.5,109.9,.324,.480,.589,50.3,58.7,9.4,5.5,.567,17.8,29.0,.225,2015
Boise State,34,25,9,.735,10.01,1.38,,14,4,,13,1,,8,5,,2390,2045,,62.4,110.6,.324,.416,.568,52.1,49.2,9.5,7.0,.537,14.2,28.4,.236,2015
Brigham Young,35,25,10,.714,13.53,5.02,,13,5,,13,3,,8,3,,2931,2561,,70.7,116.7,.424,.365,.584,53.2,60.9,10.2,7.4,.539,14.2,34.1,.325,2015
Buffalo,33,23,10,.697,7.93,1.60,,12,6,,11,2,,9,7,,2462,2253,,68.7,108.5,.426,.303,.533,52.0,51.7,10.9,11.3,.487,14.1,34.5,.306,2015
Butler,34,23,11,.676,16.64,8.62,,12,6,,13,3,,7,4,,2346,2073,,64.2,105.9,.408,.287,.522,54.2,47.5,9.8,8.8,.484,14.3,34.7,.279,2015
Cincinnati,34,23,11,.676,10.72,4.40,,13,5,,15,3,,6,5,,2113,1898,,59.6,102.8,.371,.297,.527,53.5,51.8,10.8,15.4,.495,17.7,37.3,.249,2015
Coastal Carolina,34,24,10,.706,-1.02,-6.18,,12,6,,14,2,,8,7,,2438,2121,,65.2,110.0,.411,.333,.537,55.7,46.1,10.8,10.2,.500,15.0,37.5,.283,2015
Davidson,32,24,8,.750,11.97,3.19,,14,4,,14,1,,9,4,,2529,2221,,67.2,117.1,.287,.456,.578,50.3,60.9,7.9,7.5,.556,12.2,30.0,.203,2015
Dayton,36,27,9,.750,10.98,4.06,,13,5,,16,0,,5,6,,2439,2190,,64.2,105.1,.482,.382,.565,48.6,60.5,10.8,7.2,.530,16.1,23.3,.330,2015
Duke,39,35,4,.897,24.97,9.87,,15,3,,15,1,,9,2,,3091,2502,,65.9,119.4,.398,.334,.593,53.9,53.5,10.7,9.0,.566,13.9,35.8,.278,2015
Eastern Washington,35,26,9,.743,0.79,-3.84,,14,4,,13,2,,11,6,,2820,2588,,68.3,117.1,.352,.421,.591,50.0,46.5,9.1,13.0,.562,13.6,29.9,.255,2015
Georgetown,33,22,11,.667,15.48,9.81,,12,6,,13,3,,5,4,,2340,2153,,64.6,108.1,.439,.325,.552,52.2,53.4,11.6,14.1,.513,16.4,34.3,.309,2015
Georgia,33,21,12,.636,12.42,8.60,,11,7,,12,4,,8,4,,2250,2124,,64.9,102.8,.477,.311,.530,53.0,55.0,8.4,12.4,.485,16.5,32.2,.331,2015
Georgia State,35,25,10,.714,5.47,-2.03,,15,5,,12,1,,8,8,,2499,2184,,64.3,109.8,.383,.278,.563,48.9,53.1,14.1,13.5,.527,14.2,30.0,.277,2015
Gonzaga,38,35,3,.921,21.12,5.12,,17,1,,15,1,,11,1,,2989,2343,,65.2,120.3,.387,.317,.606,55.5,57.2,9.1,8.4,.584,13.9,34.1,.267,2015
Hampton,35,17,18,.486,-8.25,-7.08,,8,8,,6,5,,5,12,,2346,2387,,69.5,96.1,.438,.326,.496,50.1,46.7,9.6,10.5,.456,17.3,31.8,.286,2015
Harvard,30,22,8,.733,4.47,-0.25,,12,3,,12,2,,9,4,,1926,1727,,61.2,103.2,.393,.266,.524,52.5,57.2,11.4,13.1,.481,16.0,32.7,.283,2015
Indiana,34,20,14,.588,12.94,7.20,,9,9,,15,4,,3,6,,2633,2438,,66.9,115.3,.327,.395,.573,52.2,51.2,7.4,7.8,.544,14.6,35.2,.235,2015
Iowa,34,22,12,.647,15.83,8.39,,12,6,,14,4,,7,4,,2372,2119,,64.5,107.4,.380,.302,.527,52.9,58.7,9.9,13.1,.481,14.4,35.6,.282,2015
Iowa State,34,25,9,.735,17.94,9.15,,12,6,,15,1,,6,5,,2645,2346,,69.8,111.4,.365,.368,.571,50.5,58.1,9.2,9.7,.543,13.9,28.3,.254,2015
Kansas,36,27,9,.750,18.47,12.13,,13,5,,15,0,,5,6,,2561,2333,,66.7,106.3,.426,.284,.539,52.6,54.7,9.8,12.3,.494,16.3,34.9,.309,2015
Kentucky,39,38,1,.974,28.72,8.67,,18,0,,19,0,,10,0,,2900,2118,,63.7,115.5,.439,.271,.558,54.9,55.0,10.1,18.2,.515,13.6,39.5,.319,2015
Lafayette,33,20,13,.606,-3.37,-3.12,,9,9,,11,5,,9,7,,2426,2409,,64.8,112.9,.305,.356,.589,48.3,58.9,8.4,6.9,.557,15.1,28.4,.234,2015
Louisiana State,33,22,11,.667,11.39,5.63,,11,7,,13,4,,8,3,,2423,2233,,69.6,103.1,.335,.284,.533,51.5,57.8,10.2,14.0,.503,17.3,33.9,.229,2015
Louisville,36,27,9,.750,18.12,8.98,,12,6,,15,4,,7,3,,2483,2154,,65.5,104.5,.387,.314,.512,51.8,47.7,11.9,14.4,.477,14.4,34.7,.258,2015
Manhattan,33,19,14,.576,-1.34,-3.34,,13,7,,9,2,,5,9,,2300,2234,,68.2,100.7,.474,.366,.537,48.6,60.8,11.6,7.5,.494,18.3,30.9,.328,2015
Maryland,35,28,7,.800,13.32,7.63,,14,4,,18,1,,6,4,,2417,2218,,64.7,106.1,.445,.387,.562,51.1,48.1,7.4,11.9,.512,16.7,28.9,.336,2015
Michigan State,39,27,12,.692,17.46,10.00,,12,6,,12,4,,7,4,,2773,2482,,63.0,109.7,.327,.350,.550,53.9,63.7,8.0,12.6,.532,14.9,33.4,.207,2015
Mississippi,34,21,13,.618,11.39,7.01,,11,7,,9,7,,8,4,,2475,2326,,67.0,107.9,.361,.331,.527,51.8,53.1,9.8,11.3,.478,13.9,34.8,.279,2015
NC State,36,22,14,.611,14.11,9.72,,10,8,,14,6,,5,5,,2525,2367,,64.5,108.0,.354,.322,.526,52.3,46.4,5.9,13.1,.493,13.5,34.0,.243,2015
New Mexico State,34,23,11,.676,3.71,-3.67,,13,1,,15,2,,6,8,,2316,2033,,62.9,107.4,.441,.257,.548,54.9,50.2,10.2,9.2,.509,18.2,39.9,.306,2015
North Carolina,38,26,12,.684,20.63,11.76,,11,7,,10,5,,7,4,,2953,2616,,69.2,111.6,.353,.223,.548,55.2,60.1,9.5,11.3,.516,15.1,40.0,.247,2015
North Dakota State,33,23,10,.697,-1.72,-3.63,,12,4,,14,0,,5,8,,2141,2057,,61.9,103.7,.358,.350,.534,51.3,42.4,7.6,10.7,.501,14.0,25.6,.248,2015
North Florida,35,23,12,.657,-0.82,-5.94,,12,2,,12,2,,9,9,,2651,2385,,67.7,111.9,.391,.424,.585,50.7,56.4,9.0,9.9,.553,16.1,30.1,.283,2015
Northeastern,35,23,12,.657,2.03,-1.34,,12,6,,9,3,,8,7,,2397,2279,,63.5,106.7,.413,.305,.581,54.2,59.7,8.1,9.3,.545,19.0,30.1,.300,2015
Northern Iowa,35,31,4,.886,12.54,2.00,,16,2,,16,0,,9,3,,2281,1912,,57.4,111.9,.398,.399,.593,51.9,53.2,10.2,7.8,.559,15.9,27.0,.292,2015
Notre Dame,38,32,6,.842,19.23,7.02,,14,4,,17,2,,7,2,,2963,2499,,63.7,120.4,.367,.376,.612,49.8,54.9,10.4,9.1,.583,12.9,27.9,.272,2015
Ohio State,35,24,11,.686,19.68,7.37,,11,7,,18,2,,4,6,,2635,2204,,66.0,113.3,.347,.319,.567,51.5,55.4,11.4,14.6,.542,14.6,33.5,.236,2015
Oklahoma,35,24,11,.686,18.65,9.94,,12,6,,14,1,,5,6,,2501,2196,,67.4,105.2,.328,.338,.532,51.1,48.6,10.0,12.9,.493,15.1,31.5,.243,2015
Oklahoma State,32,18,14,.563,12.95,9.63,,8,10,,12,4,,3,8,,2160,2011,,64.6,103.6,.387,.388,.547,48.6,49.9,12.1,13.7,.507,16.6,27.8,.281,2015
Oregon,36,26,10,.722,11.43,7.65,,13,5,,17,2,,6,4,,2713,2550,,68.0,109.3,.286,.339,.557,50.9,51.2,8.3,11.0,.524,14.7,30.8,.217,2015
Providence,34,22,12,.647,13.71,9.50,,11,7,,13,4,,5,6,,2370,2227,,65.7,105.4,.407,.289,.526,52.9,57.2,10.8,13.5,.484,15.3,35.1,.287,2015
Purdue,34,21,13,.618,12.93,7.64,,12,6,,14,3,,4,6,,2375,2195,,65.0,106.4,.417,.324,.539,53.5,61.1,8.3,13.6,.502,16.8,36.5,.285,2015
Robert Morris,35,20,15,.571,-3.02,-3.50,,12,6,,10,6,,8,8,,2414,2397,,66.7,102.6,.355,.306,.536,47.9,50.1,12.8,8.1,.501,17.2,31.0,.252,2015
San Diego State,36,27,9,.750,11.81,4.24,,14,4,,16,1,,6,5,,2226,1939,,60.8,100.7,.362,.308,.496,52.4,47.1,11.2,14.1,.467,15.4,35.4,.228,2015
Southern Methodist,34,27,7,.794,12.94,3.57,,15,3,,16,2,,8,4,,2350,2032,,63.3,108.8,.440,.229,.555,55.0,63.0,11.0,14.7,.517,16.8,37.1,.309,2015
St. John's (NY),33,21,12,.636,11.85,9.04,,10,8,,16,4,,4,6,,2343,2240,,67.6,104.6,.363,.301,.529,47.4,48.9,11.0,16.8,.494,13.7,28.4,.251,2015
Stephen F. Austin,34,29,5,.853,8.61,-4.20,,17,1,,15,1,,10,3,,2672,2188,,68.0,115.2,.427,.370,.594,54.2,65.4,11.2,10.0,.557,17.5,37.9,.314,2015
Texas,34,20,14,.588,16.16,9.07,,8,10,,13,5,,4,7,,2290,2049,,62.9,105.9,.365,.341,.531,56.0,55.5,5.9,20.0,.491,16.8,37.9,.265,2015
Texas Southern,35,22,13,.629,-5.98,-6.09,,16,2,,9,1,,10,11,,2390,2386,,64.5,103.6,.468,.312,.531,50.0,45.8,9.3,7.7,.495,16.8,33.8,.309,2015
UAB,36,20,16,.556,1.94,1.62,,12,6,,13,4,,3,8,,2476,2452,,65.9,101.5,.350,.297,.520,51.0,59.1,9.7,13.0,.477,16.8,34.2,.259,2015
UC Irvine,34,21,13,.618,3.63,0.45,,11,5,,10,3,,6,9,,2295,2113,,63.7,105.2,.292,.301,.544,51.2,56.2,8.9,12.6,.520,15.8,30.2,.200,2015
UCLA,36,22,14,.611,12.07,8.27,,11,7,,16,1,,2,8,,2590,2453,,67.3,106.1,.357,.289,.527,52.6,53.5,9.8,11.0,.496,14.9,33.8,.242,2015
Utah,35,26,9,.743,20.98,7.42,,13,5,,16,1,,6,5,,2496,1999,,62.6,113.5,.432,.372,.588,53.7,57.6,9.5,13.5,.557,16.1,31.6,.303,2015
Valparaiso,34,28,6,.824,6.29,-2.00,,13,3,,15,1,,8,4,,2366,2021,,63.8,108.6,.368,.338,.548,55.1,52.9,9.3,14.1,.520,16.4,35.6,.248,2015
Villanova,36,33,3,.917,23.13,7.55,,16,2,,15,0,,9,2,,2754,2193,,65.0,116.9,.418,.429,.589,51.5,62.2,11.8,11.0,.553,14.0,32.5,.305,2015
Virginia,34,30,4,.882,21.73,7.81,,16,2,,15,1,,11,1,,2224,1751,,58.6,110.8,.349,.275,.543,56.0,53.5,9.3,13.3,.506,13.4,34.2,.254,2015
Virginia Commonwealth,36,26,10,.722,12.79,6.10,,12,6,,12,4,,8,4,,2609,2368,,66.4,106.5,.373,.399,.518,49.2,50.9,14.0,12.5,.487,13.2,31.8,.245,2015
West Virginia,35,25,10,.714,15.12,9.29,,11,7,,12,3,,5,5,,2542,2338,,68.7,104.9,.404,.336,.499,52.1,56.7,15.5,8.7,.461,15.1,40.2,.267,2015
Wichita State,35,30,5,.857,15.56,3.68,,17,1,,15,0,,10,2,,2460,2008,,61.9,112.7,.370,.347,.541,53.6,55.3,11.5,11.3,.507,12.6,34.9,.259,2015
Wisconsin,40,36,4,.900,24.61,10.29,,16,2,,15,1,,10,2,,2900,2327,,59.5,121.2,.362,.374,.585,54.7,49.7,7.3,8.2,.548,10.7,32.1,.276,2015
Wofford,35,28,7,.800,2.56,-2.98,,16,2,,13,1,,10,5,,2331,2089,,62.7,106.2,.382,.331,.547,51.1,56.4,10.4,7.2,.516,15.1,29.1,.262,2015
Wyoming,35,25,10,.714,3.81,-0.04,,11,7,,17,2,,5,7,,2151,1974,,58.3,103.1,.394,.397,.560,49.9,67.1,9.2,8.9,.526,16.9,22.3,.277,2015
Xavier,37,23,14,.622,15.42,9.48,,9,9,,13,3,,5,7,,2712,2492,,65.6,109.8,.385,.331,.570,52.8,62.3,9.0,8.3,.534,15.8,31.3,.281,2015
Arizona,34,25,9,.735,18.79,7.23,,12,6,,17,1,,5,5,,2735,2342,,69.8,112.8,.438,.294,.575,56.5,51.3,6.8,11.3,.536,15.7,34.9,.316,2016
Austin Peay,36,18,18,.500,-6.04,-2.98,,7,9,,7,7,,7,9,,2740,2765,,70.5,106.4,.457,.315,.549,51.8,50.7,9.7,7.7,.516,16.8,33.0,.306,2016
Baylor,34,22,12,.647,16.13,9.76,,10,8,,15,5,,6,5,,2621,2366,,67.6,112.8,.375,.286,.555,55.6,64.6,11.6,11.2,.518,15.5,40.1,.272,2016
Buffalo,35,20,15,.571,1.34,0.90,,10,8,,10,5,,5,9,,2709,2634,,72.6,105.9,.414,.370,.540,51.7,48.2,9.4,9.2,.499,15.9,32.2,.294,2016
Butler,33,22,11,.667,16.46,7.55,,10,8,,13,3,,5,5,,2638,2344,,69.8,114.0,.393,.305,.564,52.3,51.0,9.8,8.9,.526,12.5,32.1,.287,2016
Cal State Bakersfield,33,24,9,.727,2.58,-5.15,,11,3,,14,1,,7,7,,2405,2104,,68.4,105.8,.374,.270,.527,52.8,59.0,11.6,14.2,.497,15.1,34.6,.245,2016
California,34,23,11,.676,15.39,7.87,,12,6,,18,0,,4,7,,2545,2289,,68.2,108.5,.417,.337,.550,54.5,48.3,5.9,10.9,.522,15.3,32.6,.274,2016
Chattanooga,35,29,6,.829,3.24,-3.46,,15,3,,13,1,,10,4,,2652,2364,,68.1,110.5,.413,.371,.565,52.3,56.2,11.3,13.1,.524,15.7,32.6,.304,2016
Cincinnati,33,22,11,.667,15.19,5.25,,12,6,,14,3,,6,6,,2418,2090,,65.5,108.9,.332,.366,.527,53.2,59.7,11.6,15.5,.493,13.7,36.6,.234,2016
Colorado,34,22,12,.647,12.04,7.64,,10,8,,16,1,,4,7,,2576,2407,,70.8,106.3,.398,.319,.534,55.7,53.3,7.3,11.6,.488,15.8,35.3,.293,2016
Connecticut,36,25,11,.694,15.89,6.28,,11,7,,14,3,,6,4,,2631,2285,,66.1,109.0,.296,.336,.555,51.1,51.8,8.7,14.0,.516,14.0,28.5,.235,2016
Dayton,33,25,8,.758,11.34,4.76,,14,4,,14,3,,8,2,,2393,2176,,68.6,104.5,.408,.350,.546,53.2,57.4,8.6,12.2,.516,16.3,28.7,.272,2016
Duke,36,25,11,.694,19.23,10.59,,11,7,,15,3,,5,4,,2920,2609,,68.4,117.7,.405,.398,.573,49.5,48.6,9.1,9.8,.537,12.2,33.0,.293,2016
FDU,33,18,15,.545,-10.90,-8.31,,11,7,,9,6,,9,8,,2558,2600,,72.4,105.8,.327,.324,.546,46.3,50.8,10.3,7.2,.517,15.3,28.6,.228,2016
Florida Gulf Coast,35,21,14,.600,-0.79,-3.82,,8,6,,16,4,,4,8,,2703,2473,,69.7,108.1,.369,.250,.546,53.5,47.9,9.2,10.3,.523,15.0,32.9,.238,2016
Fresno State,35,25,10,.714,5.27,2.24,,13,5,,16,2,,6,7,,2630,2475,,70.1,105.7,.379,.300,.524,50.4,50.3,11.9,11.8,.487,13.1,31.1,.263,2016
Gonzaga,36,28,8,.778,16.92,4.23,,15,3,,11,4,,9,2,,2840,2360,,68.1,115.4,.340,.355,.587,55.2,49.6,7.5,7.7,.553,14.7,32.3,.258,2016
Green Bay,36,23,13,.639,1.16,-0.67,,11,7,,11,3,,8,9,,3013,2880,,77.3,107.1,.429,.311,.533,48.7,47.8,12.7,11.1,.500,13.5,30.9,.282,2016
Hampton,32,21,11,.656,-8.74,-8.45,,13,3,,9,2,,8,7,,2363,2370,,71.7,101.0,.414,.345,.502,53.1,47.0,7.2,9.0,.464,15.7,34.6,.273,2016
Hawaii,34,28,6,.824,9.03,-1.04,,13,3,,16,3,,7,2,,2620,2267,,71.6,107.3,.449,.379,.555,53.0,58.8,10.5,10.0,.520,15.8,31.1,.307,2016
Holy Cross,35,15,20,.429,-11.20,-6.11,,5,13,,8,6,,5,13,,2267,2445,,64.6,98.4,.361,.409,.515,45.6,61.9,9.5,7.8,.479,14.9,23.1,.248,2016
Indiana,35,27,8,.771,19.59,6.90,,15,3,,17,0,,6,4,,2891,2447,,69.1,119.2,.338,.409,.612,54.9,54.8,9.9,9.8,.587,16.7,37.0,.248,2016
Iona,33,22,11,.667,3.59,-1.78,,16,4,,11,2,,8,6,,2628,2451,,72.5,109.5,.324,.440,.566,49.7,60.0,10.3,10.6,.538,15.4,29.2,.230,2016
Iowa,33,22,11,.667,17.01,8.71,,12,6,,13,2,,6,5,,2561,2287,,69.1,111.5,.330,.355,.546,50.6,57.7,9.7,12.5,.513,12.6,31.8,.237,2016
Iowa State,35,23,12,.657,16.93,10.16,,10,8,,14,2,,4,7,,2862,2625,,71.5,113.1,.261,.351,.590,49.7,53.1,8.6,9.8,.571,14.1,26.1,.183,2016
Kansas,38,33,5,.868,23.87,11.22,,15,3,,16,0,,7,3,,3089,2570,,69.7,115.1,.382,.330,.592,53.9,55.3,9.4,10.7,.564,15.5,32.3,.272,2016
Kentucky,36,27,9,.750,20.23,8.84,,13,5,,17,0,,4,7,,2861,2451,,68.1,115.6,.378,.310,.564,53.6,49.8,8.3,14.1,.535,13.3,37.3,.261,2016
Little Rock,35,30,5,.857,7.12,-1.76,,17,3,,14,0,,12,4,,2487,2129,,64.5,109.1,.315,.354,.553,50.1,50.9,10.1,9.6,.520,13.6,27.9,.229,2016
Maryland,36,27,9,.750,16.71,8.31,,12,6,,16,1,,4,6,,2725,2400,,67.3,112.1,.384,.381,.594,51.9,51.7,8.6,13.9,.555,16.6,28.6,.295,2016
Miami (FL),35,27,8,.771,18.52,10.69,,13,5,,15,1,,6,5,,2633,2359,,66.2,113.3,.407,.339,.582,51.7,48.3,9.3,9.1,.542,14.5,29.9,.305,2016
Michigan,36,23,13,.639,13.75,7.92,,10,8,,13,4,,4,6,,2656,2426,,65.7,111.9,.278,.440,.573,49.2,56.7,8.5,6.4,.546,13.1,24.7,.205,2016
Michigan State,35,29,6,.829,22.59,6.94,,13,5,,14,2,,7,3,,2793,2245,,66.8,118.6,.300,.356,.588,58.0,71.3,6.6,12.9,.563,14.6,37.0,.218,2016
Middle Tennessee,35,25,10,.714,2.66,-0.70,,13,5,,11,3,,8,5,,2539,2410,,69.1,104.7,.355,.354,.537,51.4,50.1,8.9,9.9,.518,15.0,29.1,.218,2016
North Carolina,40,33,7,.825,23.44,10.69,,14,4,,15,1,,6,5,,3311,2801,,70.2,118.0,.323,.268,.561,55.9,57.3,9.6,11.5,.526,12.7,40.3,.241,2016
Northern Iowa,36,23,13,.639,8.78,4.44,,11,7,,11,3,,6,8,,2475,2303,,64.1,106.2,.340,.427,.572,46.8,50.5,8.8,7.7,.535,14.2,17.6,.257,2016
Notre Dame,36,24,12,.667,14.10,9.57,,11,7,,14,2,,5,5,,2704,2541,,65.0,115.2,.329,.343,.573,51.1,49.4,8.4,10.1,.540,13.2,32.3,.244,2016
Oklahoma,37,29,8,.784,19.76,11.14,,12,6,,14,1,,7,5,,2948,2629,,71.0,111.0,.330,.407,.573,51.4,52.8,9.3,12.6,.543,15.8,31.0,.238,2016
Oregon,38,31,7,.816,18.05,8.64,,14,4,,18,0,,5,5,,2990,2614,,69.5,112.8,.406,.340,.562,52.4,49.7,10.4,15.3,.525,13.9,34.2,.291,2016
Oregon State,32,19,13,.594,10.39,9.26,,9,9,,12,3,,4,7,,2301,2244,,68.4,105.1,.373,.319,.530,48.3,53.3,10.8,9.7,.499,14.3,29.2,.250,2016
Pittsburgh,33,21,12,.636,15.47,8.75,,9,9,,15,4,,3,6,,2476,2220,,66.4,112.2,.357,.307,.551,55.2,62.3,7.3,10.0,.511,14.6,36.9,.269,2016
Providence,35,24,11,.686,11.94,8.46,,10,8,,13,4,,7,4,,2577,2455,,69.8,104.4,.373,.371,.523,49.4,62.4,9.3,8.9,.480,13.9,30.3,.270,2016
Purdue,35,26,9,.743,20.17,7.46,,12,6,,17,1,,5,5,,2726,2281,,67.8,113.7,.354,.358,.571,57.3,64.1,6.1,11.7,.536,14.9,34.9,.263,2016
Saint Joseph's,36,28,8,.778,12.10,4.93,,13,5,,12,4,,10,2,,2780,2522,,70.1,109.7,.374,.356,.548,51.9,54.7,7.3,9.2,.512,12.3,28.2,.268,2016
Seton Hall,34,25,9,.735,14.66,8.28,,12,6,,13,3,,7,4,,2522,2305,,70.7,104.5,.404,.297,.529,52.4,51.0,10.4,11.4,.498,16.4,34.7,.266,2016
South Dakota State,34,26,8,.765,5.44,-1.22,,12,4,,12,0,,8,7,,2591,2316,,68.8,110.8,.402,.367,.558,53.7,43.4,7.2,6.6,.515,14.7,32.5,.298,2016
Southern,35,22,13,.629,-7.68,-9.37,,11,7,,12,1,,6,10,,2534,2406,,69.5,104.2,.369,.298,.527,49.0,41.9,10.6,9.7,.496,14.0,28.9,.247,2016
Southern California,34,21,13,.618,13.52,7.64,,9,9,,16,2,,3,7,,2737,2537,,72.5,109.4,.351,.322,.549,51.1,51.3,8.6,12.5,.522,14.3,32.1,.237,2016
Stephen F. Austin,34,28,6,.824,9.23,-5.47,,18,0,,14,0,,9,4,,2728,2153,,69.6,115.2,.345,.365,.577,51.9,65.3,13.1,10.2,.545,14.8,34.6,.253,2016
Stony Brook,33,26,7,.788,3.75,-5.28,,14,2,,15,1,,11,5,,2515,2115,,67.8,112.0,.320,.300,.548,55.4,58.0,9.1,12.1,.524,14.2,36.0,.215,2016
Syracuse,37,23,14,.622,14.62,9.75,,9,9,,13,4,,3,8,,2589,2409,,64.9,106.7,.354,.421,.533,49.3,55.8,12.4,12.6,.501,15.3,33.4,.243,2016
Temple,33,21,12,.636,7.69,6.57,,14,4,,11,3,,8,4,,2267,2230,,65.8,102.4,.266,.375,.498,49.3,54.1,7.8,7.8,.470,11.8,29.1,.182,2016
Texas,33,20,13,.606,14.80,11.71,,11,7,,14,3,,5,5,,2355,2253,,66.8,106.1,.394,.361,.526,49.1,46.3,7.5,11.6,.494,13.2,30.7,.263,2016
Texas A&M,37,28,9,.757,18.45,8.45,,13,5,,17,1,,5,5,,2828,2458,,68.6,109.9,.381,.373,.542,53.0,61.8,10.1,10.5,.512,14.3,34.6,.256,2016
Texas Tech,32,19,13,.594,12.41,10.25,,9,9,,14,3,,3,7,,2305,2236,,66.7,106.7,.422,.304,.547,50.1,53.2,8.8,11.8,.500,15.5,31.2,.314,2016
Tulsa,32,20,12,.625,9.79,5.76,,12,6,,12,3,,6,5,,2356,2227,,68.8,106.1,.395,.363,.536,48.7,53.0,9.7,7.7,.503,13.6,27.8,.268,2016
UNC Asheville,34,22,12,.647,1.10,-3.25,,12,6,,11,3,,6,7,,2552,2313,,70.4,105.8,.410,.306,.541,51.5,47.0,12.9,9.0,.505,15.9,31.9,.284,2016
UNC Wilmington,33,25,8,.758,6.25,0.35,,14,4,,12,2,,8,5,,2620,2379,,71.3,110.0,.373,.332,.546,50.6,47.2,10.3,11.2,.512,13.5,32.2,.262,2016
Utah,36,27,9,.750,15.50,8.79,,13,5,,16,1,,5,5,,2778,2502,,67.7,112.5,.382,.373,.588,53.2,57.0,8.1,9.9,.557,16.0,30.2,.276,2016
Vanderbilt,33,19,14,.576,17.20,8.68,,11,7,,14,2,,3,9,,2506,2225,,69.2,109.0,.398,.380,.561,50.8,56.8,6.0,12.9,.529,14.7,27.2,.276,2016
Villanova,40,35,5,.875,24.08,9.71,,16,2,,15,1,,10,2,,3118,2543,,67.3,115.5,.341,.427,.597,51.2,58.7,10.4,9.7,.561,14.4,28.0,.267,2016
Virginia,37,29,8,.784,22.04,11.12,,13,5,,15,0,,5,6,,2626,2222,,61.5,115.0,.321,.284,.580,53.2,57.2,8.7,10.2,.548,13.2,29.8,.241,2016
Virginia Commonwealth,36,25,11,.694,13.83,4.35,,14,4,,15,2,,7,4,,2781,2440,,69.8,110.0,.322,.333,.539,52.0,51.0,12.2,9.8,.510,13.6,33.2,.223,2016
Weber State,35,26,9,.743,0.18,-5.13,,15,3,,13,1,,6,7,,2662,2344,,68.6,109.4,.436,.416,.585,52.6,52.5,7.2,7.7,.559,16.9,26.5,.294,2016
West Virginia,35,26,9,.743,21.61,9.78,,13,5,,13,2,,7,4,,2749,2335,,70.7,110.3,.462,.306,.536,56.1,54.1,13.8,8.5,.498,16.3,41.9,.311,2016
Wichita State,35,26,9,.743,17.39,4.24,,16,2,,14,1,,9,3,,2535,2066,,66.1,108.8,.380,.381,.531,53.1,56.4,10.9,11.6,.490,12.7,31.7,.272,2016
Wisconsin,35,22,13,.629,13.40,9.40,,12,6,,13,5,,6,5,,2373,2233,,64.1,105.1,.380,.342,.524,52.3,49.0,9.1,8.6,.485,14.6,33.0,.267,2016
