3P%_diff,AST_diff,FG%_diff,FT%_diff,SRS_diff,TOV_diff,TRB_diff,seed_diff,win_pct_diff,win_label,season
0.04099999999999998,163.0,0.035999999999999976,-0.04200000000000004,33.79,48.0,328.0,-15,0.264,1,2026
-0.01699999999999996,63.0,-0.021999999999999964,0.028000000000000025,14.809999999999999,45.0,275.0,-7,0.17200000000000004,1,2026
0.011999999999999955,142.0,0.02200000000000002,0.05400000000000005,17.860000000000003,-40.0,7.0,-9,-0.04899999999999993,1,2026
0.033999999999999975,16.0,0.032999999999999974,0.015000000000000013,9.020000000000001,40.0,-105.0,-5,-0.04899999999999993,1,2026
0.0010000000000000009,111.0,0.004999999999999949,0.041000000000000036,21.33,27.0,126.0,-11,0.0,1,2026
0.017000000000000015,61.0,0.0030000000000000027,0.03400000000000003,4.690000000000001,-54.0,-80.0,-3,0.031000000000000028,1,2026
-0.010999999999999954,109.0,0.0010000000000000009,-0.04500000000000004,2.229999999999997,2.0,55.0,1,0.125,1,2026
0.0030000000000000027,55.0,0.0020000000000000018,0.0030000000000000027,0.8699999999999974,-12.0,46.0,-3,0.08499999999999996,1,2026
0.011999999999999955,37.0,0.03899999999999998,0.007000000000000006,7.5,27.0,107.0,-4,0.10999999999999999,1,2026
0.013000000000000012,182.0,0.04899999999999999,0.018000000000000016,37.18,5.0,335.0,-15,0.239,1,2026
0.057999999999999996,161.0,0.04299999999999998,-0.009000000000000008,-0.8200000000000003,80.0,134.0,1,0.16199999999999992,1,2026
0.014000000000000012,-107.0,-0.032999999999999974,-0.040000000000000036,12.55,-15.0,-70.0,-7,-0.1529999999999999,1,2026
-0.01200000000000001,125.0,0.014000000000000012,0.02200000000000002,18.87,-29.0,56.0,-9,0.027999999999999914,1,2026
-0.05299999999999999,87.0,-0.056999999999999995,-0.05600000000000005,16.349999999999998,86.0,376.0,-5,-0.2649999999999999,1,2026
-0.0020000000000000018,107.0,-0.023999999999999966,-0.010000000000000009,20.36,-1.0,213.0,-11,0.17599999999999993,1,2026
-0.004999999999999949,-13.0,0.0,-0.013000000000000012,3.6499999999999986,13.0,93.0,-3,-0.132,1,2026
0.05499999999999999,207.0,0.02899999999999997,-0.08799999999999997,31.560000000000002,-28.0,62.0,-13,0.08700000000000008,1,2026
-0.028000000000000025,97.0,-0.0030000000000000027,0.007000000000000006,15.280000000000001,36.0,211.0,-8,0.09600000000000009,1,2026
-0.03300000000000003,39.0,-0.013000000000000012,0.052000000000000046,2.0,-23.0,176.0,-1,0.03799999999999992,1,2026
-0.02799999999999997,44.0,-0.0010000000000000009,-0.03700000000000003,1.3599999999999994,48.0,130.0,3,-0.15699999999999992,1,2026
0.04099999999999998,69.0,0.021999999999999964,-0.051999999999999935,7.490000000000002,-10.0,-38.0,-5,0.17300000000000004,1,2026
0.010000000000000009,174.0,0.05199999999999999,-0.019000000000000017,9.89,125.0,178.0,-3,0.21100000000000008,1,2026
-0.04899999999999999,-12.0,-0.02699999999999997,0.015999999999999903,-4.650000000000002,59.0,264.0,4,-0.10799999999999998,1,2026
0.033999999999999975,114.0,0.045999999999999985,0.05700000000000005,10.950000000000003,31.0,32.0,-5,0.249,1,2026
-0.020000000000000018,167.0,0.044999999999999984,-0.04500000000000004,40.9,-21.0,337.0,-15,0.257,1,2026
0.014999999999999958,109.0,0.034999999999999976,0.04400000000000004,2.849999999999998,30.0,-108.0,1,-0.03700000000000003,1,2026
0.035999999999999976,109.0,0.009999999999999953,0.039000000000000035,14.58,21.0,72.0,-7,-0.07399999999999995,1,2026
0.021999999999999964,93.0,0.019000000000000017,0.014000000000000012,22.56,-69.0,-77.0,-9,0.15300000000000002,1,2026
-0.031000000000000028,101.0,-0.0040000000000000036,-0.06000000000000005,-0.8999999999999986,4.0,-56.0,3,-0.17099999999999993,1,2026
-0.0040000000000000036,93.0,0.0040000000000000036,0.041000000000000036,26.819999999999997,-71.0,30.0,-13,0.2280000000000001,1,2026
0.043999999999999984,-41.0,0.0030000000000000027,0.05700000000000005,-8.54,-60.0,-495.0,8,-0.122,1,2026
-0.0010000000000000009,44.0,-0.008999999999999952,-0.03400000000000003,-0.870000000000001,-4.0,-48.0,-1,0.050000000000000044,1,2026
-0.01200000000000001,-64.0,-0.007000000000000006,0.03500000000000003,10.069999999999997,-60.0,104.0,-8,0.16400000000000003,1,2026
0.0010000000000000009,-76.0,0.021999999999999964,0.014000000000000012,-2.16,12.0,-135.0,5,-0.15100000000000002,1,2026
-0.0020000000000000018,-16.0,0.013000000000000012,0.007000000000000006,0.45000000000000284,15.0,148.0,1,-0.05400000000000005,1,2026
-0.01100000000000001,-31.0,-0.025999999999999968,0.01100000000000001,7.490000000000002,-29.0,434.0,-6,0.10799999999999998,1,2026
-0.007000000000000006,120.0,0.03999999999999998,0.02200000000000002,1.67,40.0,109.0,1,0.07900000000000007,1,2026
-0.009000000000000008,29.0,0.03799999999999998,-0.04400000000000004,-11.61,19.0,69.0,7,0.17499999999999993,1,2026
0.066,181.0,0.04199999999999998,0.013000000000000012,17.03,-111.0,45.0,-9,0.030000000000000027,1,2026
-0.013999999999999957,151.0,0.061,0.015000000000000013,23.51,-79.0,-9.0,-11,0.28600000000000003,1,2026
-0.0010000000000000009,99.0,0.01100000000000001,-0.007999999999999896,5.23,-14.0,141.0,-3,0.137,1,2026
0.025000000000000022,203.0,0.017000000000000015,0.007000000000000006,28.83,-22.0,206.0,-13,0.16900000000000004,1,2026
0.016000000000000014,7.0,0.0030000000000000027,0.02300000000000002,12.21,48.0,424.0,-8,0.11699999999999999,1,2026
0.029000000000000026,46.0,0.013000000000000012,0.007000000000000006,14.21,-1.0,20.0,-8,-0.10399999999999998,1,2026
0.021999999999999964,-195.0,-0.02100000000000002,0.03600000000000003,-7.120000000000001,50.0,-46.0,8,-0.30300000000000005,1,2026
0.03400000000000003,197.0,0.0020000000000000018,0.06299999999999994,7.389999999999997,-42.0,64.0,-5,0.026000000000000023,1,2026
-0.016000000000000014,4.0,-0.0020000000000000018,-0.017000000000000015,8.3,89.0,330.0,-3,0.16600000000000004,1,2026
0.028000000000000025,316.0,0.015000000000000013,0.0030000000000000027,8.259999999999998,-37.0,24.0,-9,0.18600000000000005,1,2026
-0.017000000000000015,-125.0,0.0,-0.01200000000000001,4.700000000000003,72.0,289.0,-1,0.15400000000000003,1,2026
0.0020000000000000018,106.0,0.008000000000000007,0.014000000000000012,3.1400000000000006,47.0,-60.0,0,0.0020000000000000018,1,2026
-0.04099999999999998,-163.0,-0.035999999999999976,0.04200000000000004,-33.79,-48.0,-328.0,15,-0.264,0,2026
0.01699999999999996,-63.0,0.021999999999999964,-0.028000000000000025,-14.809999999999999,-45.0,-275.0,7,-0.17200000000000004,0,2026
-0.011999999999999955,-142.0,-0.02200000000000002,-0.05400000000000005,-17.860000000000003,40.0,-7.0,9,0.04899999999999993,0,2026
-0.033999999999999975,-16.0,-0.032999999999999974,-0.015000000000000013,-9.020000000000001,-40.0,105.0,5,0.04899999999999993,0,2026
-0.0010000000000000009,-111.0,-0.004999999999999949,-0.041000000000000036,-21.33,-27.0,-126.0,11,-0.0,0,2026
-0.017000000000000015,-61.0,-0.0030000000000000027,-0.03400000000000003,-4.690000000000001,54.0,80.0,3,-0.031000000000000028,0,2026
0.010999999999999954,-109.0,-0.0010000000000000009,0.04500000000000004,-2.229999999999997,-2.0,-55.0,-1,-0.125,0,2026
-0.0030000000000000027,-55.0,-0.0020000000000000018,-0.0030000000000000027,-0.8699999999999974,12.0,-46.0,3,-0.08499999999999996,0,2026
-0.011999999999999955,-37.0,-0.03899999999999998,-0.007000000000000006,-7.5,-27.0,-107.0,4,-0.10999999999999999,0,2026
-0.013000000000000012,-182.0,-0.04899999999999999,-0.018000000000000016,-37.18,-5.0,-335.0,15,-0.239,0,2026
-0.057999999999999996,-161.0,-0.04299999999999998,0.009000000000000008,0.8200000000000003,-80.0,-134.0,-1,-0.16199999999999992,0,2026
-0.014000000000000012,107.0,0.032999999999999974,0.040000000000000036,-12.55,15.0,70.0,7,0.1529999999999999,0,2026
0.01200000000000001,-125.0,-0.014000000000000012,-0.02200000000000002,-18.87,29.0,-56.0,9,-0.027999999999999914,0,2026
0.05299999999999999,-87.0,0.056999999999999995,0.05600000000000005,-16.349999999999998,-86.0,-376.0,5,0.2649999999999999,0,2026
0.0020000000000000018,-107.0,0.023999999999999966,0.010000000000000009,-20.36,1.0,-213.0,11,-0.17599999999999993,0,2026
0.004999999999999949,13.0,-0.0,0.013000000000000012,-3.6499999999999986,-13.0,-93.0,3,0.132,0,2026
-0.05499999999999999,-207.0,-0.02899999999999997,0.08799999999999997,-31.560000000000002,28.0,-62.0,13,-0.08700000000000008,0,2026
0.028000000000000025,-97.0,0.0030000000000000027,-0.007000000000000006,-15.280000000000001,-36.0,-211.0,8,-0.09600000000000009,0,2026
0.03300000000000003,-39.0,0.013000000000000012,-0.052000000000000046,-2.0,23.0,-176.0,1,-0.03799999999999992,0,2026
0.02799999999999997,-44.0,0.0010000000000000009,0.03700000000000003,-1.3599999999999994,-48.0,-130.0,-3,0.15699999999999992,0,2026
-0.04099999999999998,-69.0,-0.021999999999999964,0.051999999999999935,-7.490000000000002,10.0,38.0,5,-0.17300000000000004,0,2026
-0.010000000000000009,-174.0,-0.05199999999999999,0.019000000000000017,-9.89,-125.0,-178.0,3,-0.21100000000000008,0,2026
0.04899999999999999,12.0,0.02699999999999997,-0.015999999999999903,4.650000000000002,-59.0,-264.0,-4,0.10799999999999998,0,2026
-0.033999999999999975,-114.0,-0.045999999999999985,-0.05700000000000005,-10.950000000000003,-31.0,-32.0,5,-0.249,0,2026
0.020000000000000018,-167.0,-0.044999999999999984,0.04500000000000004,-40.9,21.0,-337.0,15,-0.257,0,2026
-0.014999999999999958,-109.0,-0.034999999999999976,-0.04400000000000004,-2.849999999999998,-30.0,108.0,-1,0.03700000000000003,0,2026
-0.035999999999999976,-109.0,-0.009999999999999953,-0.039000000000000035,-14.58,-21.0,-72.0,7,0.07399999999999995,0,2026
-0.021999999999999964,-93.0,-0.019000000000000017,-0.014000000000000012,-22.56,69.0,77.0,9,-0.15300000000000002,0,2026
0.031000000000000028,-101.0,0.0040000000000000036,0.06000000000000005,0.8999999999999986,-4.0,56.0,-3,0.17099999999999993,0,2026
0.0040000000000000036,-93.0,-0.0040000000000000036,-0.041000000000000036,-26.819999999999997,71.0,-30.0,13,-0.2280000000000001,0,2026
-0.043999999999999984,41.0,-0.0030000000000000027,-0.05700000000000005,8.54,60.0,495.0,-8,0.122,0,2026
0.0010000000000000009,-44.0,0.008999999999999952,0.03400000000000003,0.870000000000001,4.0,48.0,1,-0.050000000000000044,0,2026
0.01200000000000001,64.0,0.007000000000000006,-0.03500000000000003,-10.069999999999997,60.0,-104.0,8,-0.16400000000000003,0,2026
-0.0010000000000000009,76.0,-0.021999999999999964,-0.014000000000000012,2.16,-12.0,135.0,-5,0.15100000000000002,0,2026
0.0020000000000000018,16.0,-0.013000000000000012,-0.007000000000000006,-0.45000000000000284,-15.0,-148.0,-1,0.05400000000000005,0,2026
0.01100000000000001,31.0,0.025999999999999968,-0.01100000000000001,-7.490000000000002,29.0,-434.0,6,-0.10799999999999998,0,2026
0.007000000000000006,-120.0,-0.03999999999999998,-0.02200000000000002,-1.67,-40.0,-109.0,-1,-0.07900000000000007,0,2026
0.009000000000000008,-29.0,-0.03799999999999998,0.04400000000000004,11.61,-19.0,-69.0,-7,-0.17499999999999993,0,2026
-0.066,-181.0,-0.04199999999999998,-0.013000000000000012,-17.03,111.0,-45.0,9,-0.030000000000000027,0,2026
0.013999999999999957,-151.0,-0.061,-0.015000000000000013,-23.51,79.0,9.0,11,-0.28600000000000003,0,2026
0.0010000000000000009,-99.0,-0.01100000000000001,0.007999999999999896,-5.23,14.0,-141.0,3,-0.137,0,2026
-0.025000000000000022,-203.0,-0.017000000000000015,-0.007000000000000006,-28.83,22.0,-206.0,13,-0.16900000000000004,0,2026
-0.016000000000000014,-7.0,-0.0030000000000000027,-0.02300000000000002,-12.21,-48.0,-424.0,8,-0.11699999999999999,0,2026
-0.029000000000000026,-46.0,-0.013000000000000012,-0.007000000000000006,-14.21,1.0,-20.0,8,0.10399999999999998,0,2026
-0.021999999999999964,195.0,0.02100000000000002,-0.03600000000000003,7.120000000000001,-50.0,46.0,-8,0.30300000000000005,0,2026
-0.03400000000000003,-197.0,-0.0020000000000000018,-0.06299999999999994,-7.389999999999997,42.0,-64.0,5,-0.026000000000000023,0,2026
0.016000000000000014,-4.0,0.0020000000000000018,0.017000000000000015,-8.3,-89.0,-330.0,3,-0.16600000000000004,0,2026
-0.028000000000000025,-316.0,-0.015000000000000013,-0.0030000000000000027,-8.259999999999998,37.0,-24.0,9,-0.18600000000000005,0,2026
0.017000000000000015,125.0,-0.0,0.01200000000000001,-4.700000000000003,-72.0,-289.0,1,-0.15400000000000003,0,2026
-0.0020000000000000018,-106.0,-0.008000000000000007,-0.014000000000000012,-3.1400000000000006,-47.0,60.0,0,-0.0020000000000000018,0,2026
